etoh,lac__D,ac
0.0981718530819233,0,0.955079725868809
0.432559797194978,0.924124867723203,0.954824050479668
0.506049983511079,0.933705874278073,0.871305400483319
0.506614009614316,0.938989855678451,0
0.856752963260609,0.924248311972219,0.950016196960523
0.856752963260609,0.933705874278073,0
0.866613982296752,0.930552635807598,0.0141776853740789
0.885879324620334,0.925611261423717,0.0150528978648272
0.943764185705419,0,0.950305181339405
0.949754593237393,0,0.947179366574188
0.961533762038967,0,0.941318394479318
